country,year,population_0-19,population_20-39,population_40-59,population_60+
Afghanistan,2004,7150000,5970000,2470000,867000
Afghanistan,2005,7370000,6180000,2560000,900000
Afghanistan,2006,7630000,6450000,2660000,940000
Afghanistan,2007,7730000,6600000,2720000,962000
Afghanistan,2008,7870000,6770000,2780000,985000
Afghanistan,2009,8130000,7060000,2900000,1020000
Afghanistan,2010,8360000,7320000,3010000,1050000
Afghanistan,2011,8660000,7650000,3140000,1090000
Afghanistan,2012,9010000,8030000,3300000,1130000
Afghanistan,2013,9310000,8390000,3440000,1170000
Afghanistan,2014,9630000,8800000,3600000,1220000
Afghanistan,2015,9900000,9180000,3740000,1260000
Afghanistan,2016,10090000,9540000,3870000,1290000
Afghanistan,2017,10320000,9930000,4020000,1330000
Afghanistan,2018,10550000,10300000,4180000,1380000
Afghanistan,2019,10780000,10800000,4340000,1430000
Afghanistan,2020,11030000,11300000,4510000,1470000
Afghanistan,2021,11190000,11700000,4650000,1500000
Afghanistan,2022,11220000,12000000,4760000,1530000
Afghanistan,2023,11340000,12400000,4900000,1580000
Afghanistan,2024,11550000,12900000,5080000,1640000
Albania,1950,309000,337000,191000,111000
Albania,1951,319000,345000,196000,112000
Albania,1952,332000,354000,201000,113000
Albania,1953,345000,363000,205000,114000
Albania,1954,356000,374000,210000,117000
Albania,1955,366000,385000,214000,120000
Albania,1956,378000,396000,219000,122000
Albania,1957,394000,408000,224000,123000
Albania,1958,413000,421000,230000,124000
Albania,1959,429000,434000,236000,127000
Albania,1960,444000,448000,241000,129000
Albania,1961,451000,462000,247000,131000
Albania,1962,454000,474000,252000,132000
Albania,1963,462000,486000,258000,133000
Albania,1964,473000,498000,264000,135000
Albania,1965,487000,510000,270000,138000
Albania,1966,505000,523000,276000,141000
Albania,1967,523000,537000,283000,145000
Albania,1968,540000,553000,290000,149000
Albania,1969,554000,570000,298000,153000
Albania,1970,561000,585000,307000,156000
Albania,1971,567000,601000,316000,161000
Albania,1972,576000,618000,326000,165000
Albania,1973,585000,636000,336000,170000
Albania,1974,596000,656000,346000,175000
Albania,1975,609000,677000,357000,180000
Albania,1976,621000,700000,369000,185000
Albania,1977,634000,725000,381000,190000
Albania,1978,645000,752000,394000,195000
Albania,1979,653000,780000,407000,200000
Albania,1980,656000,809000,420000,204000
Albania,1981,658000,838000,433000,208000
Albania,1982,662000,868000,446000,213000
Albania,1983,668000,898000,460000,218000
Albania,1984,676000,929000,473000,223000
Albania,1985,687000,961000,483000,228000
Albania,1986,700000,992000,493000,233000
Albania,1987,709000,1020000,503000,240000
Albania,1988,717000,1050000,515000,248000
Albania,1989,717000,1080000,528000,255000
Albania,1990,710000,1080000,540000,263000
Albania,1991,697000,1090000,550000,271000
Albania,1992,681000,1090000,560000,277000
Albania,1993,662000,1080000,570000,285000
Albania,1994,641000,1070000,581000,293000
Albania,1995,621000,1050000,594000,302000
Albania,1996,605000,1030000,607000,311000
Albania,1997,595000,1010000,618000,320000
Albania,1998,589000,988000,630000,328000
Albania,1999,586000,962000,641000,336000
Albania,2000,584000,934000,651000,345000
Albania,2001,577000,914000,663000,355000
Albania,2002,565000,903000,677000,366000
Albania,2003,551000,894000,691000,376000
Albania,2004,535000,885000,704000,385000
Albania,2005,519000,876000,717000,393000
Albania,2006,504000,866000,728000,401000
Albania,2007,490000,854000,738000,410000
Albania,2008,478000,841000,745000,420000
Albania,2009,467000,827000,750000,432000
Albania,2010,458000,814000,753000,444000
Albania,2011,451000,812000,755000,457000
Albania,2012,447000,819000,757000,470000
Albania,2013,441000,826000,756000,484000
Albania,2014,434000,833000,753000,499000
Albania,2015,425000,841000,747000,514000
Albania,2016,415000,851000,740000,532000
Albania,2017,402000,861000,732000,550000
Albania,2018,387000,868000,723000,568000
Albania,2019,370000,870000,711000,587000
Albania,2020,352000,870000,699000,605000
Albania,2021,337000,865000,686000,619000
Albania,2022,325000,858000,674000,632000
Albania,2023,317000,854000,662000,644000
Albania,2024,308000,844000,654000,657000
Algeria,1950,2430000,2500000,1390000,501000
Algeria,1951,2550000,2570000,1420000,506000
Algeria,1952,2660000,2640000,1450000,510000
Algeria,1953,2770000,2710000,1470000,515000
Algeria,1954,2870000,2770000,1500000,522000
Algeria,1955,2950000,2810000,1510000,533000
Algeria,1956,3000000,2850000,1520000,549000
Algeria,1957,3050000,2890000,1530000,569000
Algeria,1958,3110000,2920000,1540000,591000
Algeria,1959,3160000,2950000,1550000,610000
Algeria,1960,3220000,2980000,1550000,625000
Algeria,1961,3280000,3000000,1560000,645000
Algeria,1962,3320000,3030000,1560000,669000
Algeria,1963,3390000,3050000,1570000,692000
Algeria,1964,3480000,3070000,1570000,717000
Algeria,1965,3550000,3090000,1570000,744000
Algeria,1966,3620000,3120000,1590000,758000
Algeria,1967,3700000,3170000,1610000,762000
Algeria,1968,3770000,3220000,1640000,766000
Algeria,1969,3860000,3290000,1670000,770000
Algeria,1970,3960000,3360000,1700000,774000
Algeria,1971,4070000,3440000,1730000,776000
Algeria,1972,4180000,3530000,1770000,779000
Algeria,1973,4280000,3640000,1810000,782000
Algeria,1974,4380000,3760000,1850000,785000
Algeria,1975,4580000,3900000,1920000,808000
Algeria,1976,4810000,4030000,2020000,853000
Algeria,1977,4970000,4180000,2100000,883000
Algeria,1978,5070000,4350000,2140000,895000
Algeria,1979,5200000,4540000,2190000,910000
Algeria,1980,5330000,4750000,2240000,928000
Algeria,1981,5500000,4970000,2290000,953000
Algeria,1982,5690000,5220000,2350000,981000
Algeria,1983,5880000,5500000,2410000,1010000
Algeria,1984,6050000,5790000,2480000,1040000
Algeria,1985,6220000,6100000,2560000,1080000
Algeria,1986,6370000,6410000,2640000,1110000
Algeria,1987,6480000,6720000,2720000,1150000
Algeria,1988,6560000,7010000,2810000,1190000
Algeria,1989,6610000,7300000,2910000,1230000
Algeria,1990,6630000,7580000,3020000,1270000
Algeria,1991,6640000,7860000,3130000,1320000
Algeria,1992,6670000,8100000,3260000,1380000
Algeria,1993,6710000,8320000,3400000,1470000
Algeria,1994,6750000,8550000,3530000,1560000
Algeria,1995,6810000,8770000,3670000,1650000
Algeria,1996,6870000,9010000,3810000,1740000
Algeria,1997,6940000,9260000,3950000,1830000
Algeria,1998,6930000,9560000,4090000,1900000
Algeria,1999,6890000,9910000,4250000,1960000
Algeria,2000,6850000,10300000,4410000,2010000
Algeria,2001,6810000,10600000,4590000,2060000
Algeria,2002,6770000,11000000,4790000,2110000
Algeria,2003,6770000,11300000,5000000,2160000
Algeria,2004,6810000,11700000,5230000,2200000
Algeria,2005,6860000,12000000,5480000,2250000
Algeria,2006,6930000,12300000,5730000,2290000
Algeria,2007,7030000,12600000,5990000,2350000
Algeria,2008,7150000,12900000,6260000,2420000
Algeria,2009,7280000,13100000,6520000,2510000
Algeria,2010,7400000,13300000,6790000,2600000
Algeria,2011,7500000,13600000,7050000,2710000
Algeria,2012,7590000,13700000,7310000,2830000
Algeria,2013,7650000,13900000,7570000,2960000
Algeria,2014,7670000,14000000,7840000,3090000
Algeria,2015,7730000,14100000,8120000,3230000
Algeria,2016,7780000,14100000,8410000,3370000
Algeria,2017,7830000,14100000,8710000,3520000
Algeria,2018,7890000,14000000,9030000,3670000
Algeria,2019,7970000,13900000,9360000,3830000
Algeria,2020,8020000,13800000,9710000,3970000
Algeria,2021,8080000,13600000,10100000,4110000
Algeria,2022,8140000,13500000,10400000,4290000
Algeria,2023,8220000,13300000,10800000,4480000
Algeria,2024,8290000,13200000,11100000,4690000
American Samoa,1950,5750,5300,2030,695
American Samoa,1951,5820,5390,2110,698
American Samoa,1952,5790,5370,2180,706
American Samoa,1953,5780,5330,2230,720
American Samoa,1954,5790,5270,2270,743
American Samoa,1955,5830,5190,2280,770
American Samoa,1956,5850,5120,2300,786
American Samoa,1957,5810,5050,2320,791
American Samoa,1958,5780,4960,2340,790
American Samoa,1959,5830,4830,2370,783
American Samoa,1960,5960,4810,2420,788
American Samoa,1961,6150,4960,2500,814
American Samoa,1962,6340,5160,2600,847
American Samoa,1963,6510,5370,2690,883
American Samoa,1964,6690,5590,2790,917
American Samoa,1965,6870,5780,2900,949
American Samoa,1966,7060,5970,3010,969
American Samoa,1967,7250,6140,3130,983
American Samoa,1968,7440,6310,3260,997
American Samoa,1969,7640,6460,3390,1020
American Samoa,1970,7750,6680,3510,1040
American Samoa,1971,7760,6950,3630,1070
American Samoa,1972,7760,7210,3730,1110
American Samoa,1973,7770,7420,3850,1150
American Samoa,1974,7790,7580,3970,1200
American Samoa,1975,7860,7790,4060,1260
American Samoa,1976,8000,8040,4130,1320
American Samoa,1977,8170,8320,4210,1370
American Samoa,1978,8360,8600,4290,1430
American Samoa,1979,8530,8910,4380,1480
American Samoa,1980,8720,9310,4490,1530
American Samoa,1981,8980,9840,4630,1590
American Samoa,1982,9290,10400,4790,1660
American Samoa,1983,9610,11000,4960,1740
American Samoa,1984,9940,11600,5140,1820
American Samoa,1985,10260,12100,5330,1920
American Samoa,1986,10540,12700,5550,2020
American Samoa,1987,10820,13400,5780,2120
American Samoa,1988,11110,14000,6040,2230
American Samoa,1989,11410,14600,6320,2330
American Samoa,1990,11780,15100,6570,2420
American Samoa,1991,12170,15500,6810,2480
American Samoa,1992,12490,15800,7060,2530
American Samoa,1993,12720,16100,7310,2570
American Samoa,1994,12860,16300,7580,2630
American Samoa,1995,12940,16600,7850,2690
American Samoa,1996,12940,16800,8140,2760
American Samoa,1997,12960,17000,8440,2830
American Samoa,1998,12990,17100,8750,2910
American Samoa,1999,13020,17200,9100,2970
American Samoa,2000,12990,17200,9440,3030
American Samoa,2001,12870,17100,9740,3100
American Samoa,2002,12690,16900,10000,3170
American Samoa,2003,12510,16700,10300,3220
American Samoa,2004,12360,16500,10600,3280
American Samoa,2005,12270,16200,10900,3340
American Samoa,2006,12270,15800,11100,3410
American Samoa,2007,12370,15500,11300,3470
American Samoa,2008,12570,15100,11400,3540
American Samoa,2009,12780,14700,11500,3610
American Samoa,2010,12750,14500,11700,3710
American Samoa,2011,12340,14700,11800,3850
American Samoa,2012,11710,14800,11900,4000
American Samoa,2013,11030,14900,12000,4160
American Samoa,2014,10400,14900,12000,4310
American Samoa,2015,9910,14800,12100,4450
American Samoa,2016,9620,14500,12100,4590
American Samoa,2017,9500,14000,12200,4720
American Samoa,2018,9500,13500,12200,4850
American Samoa,2019,9560,13000,12100,4980
American Samoa,2020,9540,12700,12100,5160
American Samoa,2021,9300,12600,12000,5370
American Samoa,2022,8940,12400,11900,5550
American Samoa,2023,8590,12200,11700,5770
American Samoa,2024,8300,11900,11600,6020
Andorra,1950,989,1740,1510,873
Andorra,1951,936,1660,1500,877
Andorra,1952,841,1500,1450,875
Andorra,1953,788,1430,1450,874
Andorra,1954,837,1540,1480,885
Andorra,1955,970,1780,1560,896
Andorra,1956,1110,2030,1640,906
Andorra,1957,1270,2290,1740,916
Andorra,1958,1430,2560,1850,924
Andorra,1959,1600,2830,1990,933
Andorra,1960,1770,3100,2160,944
Andorra,1961,1930,3360,2340,968
Andorra,1962,2070,3630,2530,1010
Andorra,1963,2200,3880,2740,1060
Andorra,1964,2320,4140,2950,1130
Andorra,1965,2430,4390,3180,1210
Andorra,1966,2600,4630,3400,1300
Andorra,1967,2870,4910,3610,1390
Andorra,1968,3190,5220,3830,1480
Andorra,1969,3540,5580,4060,1580
Andorra,1970,3920,6000,4320,1680
Andorra,1971,4300,6480,4570,1800
Andorra,1972,4710,7040,4840,1930
Andorra,1973,5100,7670,5120,2070
Andorra,1974,5480,8360,5410,2220
Andorra,1975,5820,9110,5700,2390
Andorra,1976,6050,9930,6000,2580
Andorra,1977,6170,10800,6310,2770
Andorra,1978,6150,11800,6620,2980
Andorra,1979,5960,12700,6940,3190
Andorra,1980,5610,13700,7270,3430
Andorra,1981,5170,14600,7640,3700
Andorra,1982,5090,15400,8030,4000
Andorra,1983,5370,16000,8420,4340
Andorra,1984,5540,16700,8860,4700
Andorra,1985,5520,17300,9320,5080
Andorra,1986,5590,18100,9830,5470
Andorra,1987,5790,18700,10400,5890
Andorra,1988,5860,19100,11100,6350
Andorra,1989,6030,19200,11600,6810
Andorra,1990,6430,20000,12100,7270
Andorra,1991,6910,22400,12800,7720
Andorra,1992,7230,24500,13500,8180
Andorra,1993,7390,25700,14600,8780
Andorra,1994,7350,25900,15300,9170
Andorra,1995,7170,25200,15500,9330
Andorra,1996,7080,24800,15900,9630
Andorra,1997,7030,24700,16300,9970
Andorra,1998,6970,24600,16900,10200
Andorra,1999,6890,24200,17600,10400
Andorra,2000,6810,23300,18200,10700
Andorra,2001,6710,22600,18900,11000
Andorra,2002,6560,22200,19600,11400
Andorra,2003,6660,23300,20600,11900
Andorra,2004,7030,25600,22000,12300
Andorra,2005,7330,26900,22800,12600
Andorra,2006,7470,27600,23600,12900
Andorra,2007,7590,28000,24600,13400
Andorra,2008,7700,27900,25500,14000
Andorra,2009,7670,27300,26000,14500
Andorra,2010,7570,25200,25500,14200
Andorra,2011,7520,23600,24700,13600
Andorra,2012,7470,23100,24600,13400
Andorra,2013,7370,22000,24600,13200
Andorra,2014,7300,20900,24600,13100
Andorra,2015,7180,19800,24500,13000
Andorra,2016,7110,19400,24800,13200
Andorra,2017,7110,19500,25600,13800
Andorra,2018,6920,19700,26300,14400
Andorra,2019,6730,20000,26900,15100
Andorra,2020,6650,20100,27100,15800
Andorra,2021,6540,20200,27400,16500
Andorra,2022,6520,20500,27700,17200
Andorra,2023,6660,20800,27800,18100
Andorra,2024,6880,21000,27800,19000
Angola,1950,1200000,1380000,672000,217000
Angola,1951,1210000,1410000,675000,222000
Angola,1952,1220000,1440000,674000,228000
Angola,1953,1230000,1460000,673000,234000
Angola,1954,1250000,1490000,672000,239000
Angola,1955,1280000,1520000,673000,245000
Angola,1956,1310000,1550000,674000,250000
Angola,1957,1330000,1580000,677000,254000
Angola,1958,1360000,1600000,680000,258000
Angola,1959,1390000,1630000,685000,261000
Angola,1960,1420000,1650000,689000,263000
Angola,1961,1450000,1660000,693000,265000
Angola,1962,1480000,1660000,695000,265000
Angola,1963,1500000,1660000,698000,264000
Angola,1964,1520000,1660000,701000,264000
Angola,1965,1530000,1660000,705000,263000
Angola,1966,1550000,1660000,710000,262000
Angola,1967,1560000,1660000,715000,261000
Angola,1968,1590000,1660000,721000,259000
Angola,1969,1620000,1650000,726000,258000
Angola,1970,1660000,1640000,742000,258000
Angola,1971,1700000,1640000,773000,259000
Angola,1972,1750000,1670000,811000,262000
Angola,1973,1820000,1710000,853000,266000
Angola,1974,1880000,1760000,896000,270000
Angola,1975,1950000,1820000,940000,275000
Angola,1976,2020000,1880000,982000,280000
Angola,1977,2090000,1940000,1030000,286000
Angola,1978,2180000,2020000,1070000,293000
Angola,1979,2260000,2100000,1110000,301000
Angola,1980,2340000,2190000,1160000,310000
Angola,1981,2430000,2280000,1200000,320000
Angola,1982,2520000,2390000,1240000,332000
Angola,1983,2620000,2490000,1280000,345000
Angola,1984,2720000,2600000,1320000,359000
Angola,1985,2830000,2710000,1370000,374000
Angola,1986,2940000,2810000,1410000,392000
Angola,1987,3040000,2910000,1450000,409000
Angola,1988,3150000,3020000,1480000,428000
Angola,1989,3240000,3130000,1520000,448000
Angola,1990,3350000,3240000,1550000,470000
Angola,1991,3450000,3340000,1580000,493000
Angola,1992,3570000,3440000,1620000,516000
Angola,1993,3680000,3540000,1650000,540000
Angola,1994,3800000,3640000,1700000,565000
Angola,1995,3920000,3750000,1750000,591000
Angola,1996,4040000,3870000,1800000,618000
Angola,1997,4170000,3990000,1860000,645000
Angola,1998,4310000,4120000,1930000,672000
Angola,1999,4460000,4250000,2000000,696000
Angola,2000,4610000,4380000,2070000,721000
Angola,2001,4780000,4520000,2150000,744000
Angola,2002,4950000,4680000,2230000,768000
Angola,2003,5140000,4840000,2320000,794000
Angola,2004,5350000,5030000,2410000,822000
Angola,2005,5560000,5220000,2500000,851000
Angola,2006,5780000,5430000,2590000,881000
Angola,2007,6000000,5650000,2690000,913000
Angola,2008,6230000,5880000,2800000,944000
Angola,2009,6470000,6120000,2910000,974000
Angola,2010,6700000,6370000,3030000,1010000
Angola,2011,6940000,6650000,3150000,1040000
Angola,2012,7190000,6930000,3270000,1080000
Angola,2013,7430000,7220000,3390000,1120000
Angola,2014,7670000,7500000,3520000,1160000
Angola,2015,7910000,7780000,3640000,1210000
Angola,2016,8150000,8050000,3770000,1260000
Angola,2017,8400000,8340000,3910000,1310000
Angola,2018,8670000,8620000,4040000,1370000
Angola,2019,8930000,8900000,4190000,1430000
Angola,2020,9210000,9180000,4330000,1490000
Angola,2021,9490000,9460000,4470000,1550000
Angola,2022,9780000,9750000,4630000,1620000
Angola,2023,10070000,10000000,4790000,1690000
Angola,2024,10370000,10300000,4960000,1760000
Anguilla,1950,1290,1520,712,270
Anguilla,1951,1400,1560,747,273
Anguilla,1952,1530,1560,769,265
Anguilla,1953,1660,1530,791,268
Anguilla,1954,1740,1490,823,275
Anguilla,1955,1740,1440,860,310
Anguilla,1956,1680,1360,900,368
Anguilla,1957,1630,1280,928,430
Anguilla,1958,1590,1180,951,496
Anguilla,1959,1560,1080,968,561
Anguilla,1960,1560,1030,978,602
Anguilla,1961,1580,1040,978,608
Anguilla,1962,1590,1080,976,604
Anguilla,1963,1590,1120,975,601
Anguilla,1964,1600,1140,972,602
Anguilla,1965,1610,1170,971,601
Anguilla,1966,1620,1190,969,609
Anguilla,1967,1610,1220,960,627
Anguilla,1968,1600,1240,945,647
Anguilla,1969,1600,1250,931,669
Anguilla,1970,1580,1260,919,700
Anguilla,1971,1580,1270,903,736
Anguilla,1972,1590,1250,886,772
Anguilla,1973,1600,1240,867,813
Anguilla,1974,1600,1250,853,840
Anguilla,1975,1610,1290,846,850
Anguilla,1976,1620,1350,842,861
Anguilla,1977,1630,1420,839,868
Anguilla,1978,1620,1500,832,876
Anguilla,1979,1600,1580,825,882
Anguilla,1980,1570,1660,816,886
Anguilla,1981,1550,1730,811,892
Anguilla,1982,1530,1780,813,899
Anguilla,1983,1510,1840,809,904
Anguilla,1984,1530,1930,811,903
Anguilla,1985,1560,2080,848,901
Anguilla,1986,1600,2240,905,906
Anguilla,1987,1640,2410,958,913
Anguilla,1988,1680,2590,1010,922
Anguilla,1989,1720,2760,1070,939
Anguilla,1990,1750,2910,1150,958
Anguilla,1991,1760,3040,1240,973
Anguilla,1992,1750,3170,1320,985
Anguilla,1993,1720,3290,1410,992
Anguilla,1994,1700,3390,1490,995
Anguilla,1995,1700,3480,1580,998
Anguilla,1996,1720,3570,1680,1010
Anguilla,1997,1760,3640,1790,1030
Anguilla,1998,1830,3700,1910,1050
Anguilla,1999,1910,3740,2050,1060
Anguilla,2000,2000,3780,2200,1090
Anguilla,2001,2080,3820,2350,1110
Anguilla,2002,2110,3870,2500,1120
Anguilla,2003,2120,3930,2640,1130
Anguilla,2004,2090,3990,2800,1140
Anguilla,2005,2060,4050,2950,1160
Anguilla,2006,2010,4100,3090,1210
Anguilla,2007,1980,4150,3230,1250
Anguilla,2008,1950,4190,3370,1300
Anguilla,2009,1950,4210,3510,1340
Anguilla,2010,1960,4220,3640,1400
Anguilla,2011,1970,4240,3760,1480
Anguilla,2012,1950,3940,3810,1520
Anguilla,2013,1950,3710,3880,1560
Anguilla,2014,1930,4030,4020,1660
Anguilla,2015,1880,4350,4160,1770
Anguilla,2016,1840,4350,4230,1870
Anguilla,2017,1800,4370,4280,1970
Anguilla,2018,1760,4560,4340,2090
Anguilla,2019,1740,4570,4380,2190
Anguilla,2020,1730,4500,4400,2300
Anguilla,2021,1740,4090,4360,2380
Anguilla,2022,1770,3730,4330,2470
Anguilla,2023,1830,3830,4400,2580
Anguilla,2024,1860,3900,4450,2690
Antigua and Barbuda,1950,11390,11400,7710,2890
Antigua and Barbuda,1951,11740,11600,7910,2890
Antigua and Barbuda,1952,12090,11800,8100,2890
Antigua and Barbuda,1953,12470,12000,8290,2890
Antigua and Barbuda,1954,12870,12300,8470,2920
Antigua and Barbuda,1955,13240,12600,8640,3000
Antigua and Barbuda,1956,13530,12800,8810,3100
Antigua and Barbuda,1957,13810,13100,8970,3250
Antigua and Barbuda,1958,14070,13400,9130,3410
Antigua and Barbuda,1959,14320,13800,9250,3590
Antigua and Barbuda,1960,14560,14200,9340,3770
Antigua and Barbuda,1961,14730,14500,9400,3960
Antigua and Barbuda,1962,14850,14800,9430,4170
Antigua and Barbuda,1963,14960,15000,9440,4370
Antigua and Barbuda,1964,15140,15100,9480,4530
Antigua and Barbuda,1965,15380,15000,9560,4620
Antigua and Barbuda,1966,15590,14800,9680,4700
Antigua and Barbuda,1967,15800,14500,9820,4780
Antigua and Barbuda,1968,16030,14200,9960,4860
Antigua and Barbuda,1969,16350,13900,10100,4950
Antigua and Barbuda,1970,16450,13900,10200,5110
Antigua and Barbuda,1971,16240,14100,10200,5340
Antigua and Barbuda,1972,16000,14200,10300,5570
Antigua and Barbuda,1973,15740,14200,10300,5800
Antigua and Barbuda,1974,15500,14400,10300,6040
Antigua and Barbuda,1975,15390,14700,10300,6260
Antigua and Barbuda,1976,15420,15100,10200,6480
Antigua and Barbuda,1977,15500,15800,10100,6700
Antigua and Barbuda,1978,15520,16500,10000,6920
Antigua and Barbuda,1979,15520,17300,9910,7130
Antigua and Barbuda,1980,15450,18200,9790,7340
Antigua and Barbuda,1981,15210,19000,9670,7540
Antigua and Barbuda,1982,14860,19900,9560,7740
Antigua and Barbuda,1983,14500,20700,9460,7940
Antigua and Barbuda,1984,14120,21300,9310,8040
Antigua and Barbuda,1985,13660,21700,9140,8050
Antigua and Barbuda,1986,13210,22000,9050,8010
Antigua and Barbuda,1987,12840,22100,9050,7930
Antigua and Barbuda,1988,12510,22100,9120,7810
Antigua and Barbuda,1989,12260,21900,9250,7680
Antigua and Barbuda,1990,12150,21600,9460,7510
Antigua and Barbuda,1991,12110,21700,9750,7410
Antigua and Barbuda,1992,12130,22300,10100,7360
Antigua and Barbuda,1993,12260,22800,10600,7310
Antigua and Barbuda,1994,12420,23400,11000,7270
Antigua and Barbuda,1995,12600,23900,11500,7250
Antigua and Barbuda,1996,12800,24400,12000,7250
Antigua and Barbuda,1997,13020,24900,12600,7260
Antigua and Barbuda,1998,13210,25200,13300,7270
Antigua and Barbuda,1999,13310,25500,14000,7290
Antigua and Barbuda,2000,13380,25700,14800,7330
Antigua and Barbuda,2001,13440,25800,15500,7400
Antigua and Barbuda,2002,13410,25900,16200,7480
Antigua and Barbuda,2003,13360,25900,16900,7570
Antigua and Barbuda,2004,13350,25900,17700,7670
Antigua and Barbuda,2005,13300,25900,18500,7810
Antigua and Barbuda,2006,13220,26000,19300,7980
Antigua and Barbuda,2007,13180,26100,20100,8180
Antigua and Barbuda,2008,13300,26300,20800,8400
Antigua and Barbuda,2009,13520,26500,21600,8640
Antigua and Barbuda,2010,13670,26700,22300,8960
Antigua and Barbuda,2011,13760,26900,22900,9340
Antigua and Barbuda,2012,13820,27000,23400,9750
Antigua and Barbuda,2013,13630,27200,23900,10100
Antigua and Barbuda,2014,13220,27400,24300,10500
Antigua and Barbuda,2015,12910,27600,24700,11000
Antigua and Barbuda,2016,12670,27800,25000,11500
Antigua and Barbuda,2017,12360,27900,25300,12000
Antigua and Barbuda,2018,12120,28100,25500,12600
Antigua and Barbuda,2019,11960,28100,25600,13200
Antigua and Barbuda,2020,11780,28200,25700,13900
Antigua and Barbuda,2021,11650,28300,25800,14500
Antigua and Barbuda,2022,11640,28200,25900,15200
Antigua and Barbuda,2023,11770,28200,25900,15800
Antigua and Barbuda,2024,11990,28000,26000,16600
Argentina,1950,3530000,5530000,3470000,1180000
Argentina,1951,3570000,5620000,3560000,1220000
Argentina,1952,3610000,5700000,3650000,1270000
Argentina,1953,3650000,5770000,3740000,1320000
Argentina,1954,3700000,5830000,3840000,1380000
Argentina,1955,3730000,5900000,3930000,1430000
Argentina,1956,3790000,5960000,4010000,1490000
Argentina,1957,3830000,6010000,4100000,1550000
Argentina,1958,3890000,6070000,4180000,1610000
Argentina,1959,3940000,6120000,4260000,1680000
Argentina,1960,4010000,6180000,4350000,1740000
Argentina,1961,4070000,6230000,4430000,1810000
Argentina,1962,4140000,6290000,4520000,1890000
Argentina,1963,4220000,6350000,4610000,1960000
Argentina,1964,4290000,6420000,4690000,2030000
Argentina,1965,4340000,6500000,4780000,2110000
Argentina,1966,4400000,6580000,4870000,2180000
Argentina,1967,4440000,6670000,4950000,2260000
Argentina,1968,4500000,6770000,5040000,2330000
Argentina,1969,4560000,6870000,5120000,2400000
Argentina,1970,4640000,6980000,5190000,2470000
Argentina,1971,4720000,7090000,5260000,2540000
Argentina,1972,4830000,7210000,5330000,2620000
Argentina,1973,4920000,7340000,5390000,2690000
Argentina,1974,5030000,7460000,5440000,2770000
Argentina,1975,5120000,7590000,5500000,2840000
Argentina,1976,5230000,7700000,5550000,2920000
Argentina,1977,5330000,7810000,5610000,2990000
Argentina,1978,5440000,7920000,5660000,3070000
Argentina,1979,5530000,8030000,5710000,3140000
